Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
POU2F1,V1,Down,-0.10033594,2.95E-06,0.107834093,5.38E-05,26.6,34.3
SIPA1L3,V1,Down,-0.100488908,0.008031317,1,0.028261552,15.9,22.0
ATF7,V1,Down,-0.100542455,0.000447193,1,0.002922182,28.9,38.2
CCPG1,V1,Down,-0.10057958,0.002274174,1,0.010513892,15.9,21.9
A2M,V1,Down,-0.100631801,2.48E-09,9.06E-05,1.24E-07,81.6,84.2
RRBP1,V1,Down,-0.100666397,0.010605678,1,0.035202762,21.6,28.7
BTBD10,V1,Down,-0.100676611,1.25E-07,0.004566198,3.92E-06,17.5,23.5
TNKS,V1,Down,-0.100859748,5.21E-05,1,0.000534283,40.9,50.0
GTF2F2,V1,Down,-0.101045174,7.10E-10,2.60E-05,4.08E-08,13.2,18.1
VTA1,V1,Down,-0.101161638,7.51E-06,0.274719505,0.000111131,11.5,16.2
CACUL1,V1,Down,-0.101223687,0.012727071,1,0.0406704,17,23.2
TNXB,V1,Down,-0.101411082,3.53E-16,1.29E-11,4.94E-14,17.8,24.3
MIR3936HG,V1,Down,-0.101630663,1.04E-06,0.038204764,2.27E-05,18.1,24.0
ANAPC10,V1,Down,-0.101638041,0.004978674,1,0.019317514,13.1,18.5
IPO8,V1,Down,-0.101659884,0.001959706,1,0.009346292,13.8,19.7
ABHD2,V1,Down,-0.102048083,0.000588722,1,0.003649261,25.4,33.7
AKAP9,V1,Down,-0.102059549,0.000180059,1,0.001423524,40.9,51.2
FAM49B,V1,Down,-0.102059679,0.003703338,1,0.015331466,21.7,27.7
ITSN1,V1,Down,-0.102469637,2.83E-06,0.103466211,5.22E-05,26.1,34.0
C11orf49,V1,Down,-0.102759324,0.004842591,1,0.018898625,10,14.4
PIK3R1,V1,Down,-0.102774472,0.023411097,1,0.065540444,19.2,25.2
ZCCHC17,V1,Down,-0.102798642,0.000248562,1,0.001834887,10.9,16.0
CD47,V1,Down,-0.102823954,0.002352895,1,0.010786862,17.4,24.5
SEPTIN10,V1,Down,-0.102829396,0.003772466,1,0.015515898,10.5,15.7
CRYZL1,V1,Down,-0.103194448,9.61E-05,1,0.000863408,11.1,16.5
SLC25A37,V1,Down,-0.103280392,0.000310592,1,0.002189593,14.2,21.3
GALNT11,V1,Down,-0.103327549,0.000229003,1,0.001723476,10.9,15.5
AC005562.1,V1,Down,-0.103330992,0.016096246,1,0.048965389,11.4,16.8
TTC37,V1,Down,-0.103423484,2.03E-06,0.074226093,3.95E-05,23.3,32.5
PSMD14,V1,Down,-0.103536098,0.000108356,1,0.000946845,14,20.1
IL13RA1,V1,Down,-0.103596286,2.07E-19,7.58E-15,4.23E-17,24.9,32.4
TYW1B,V1,Down,-0.103704609,0.001426602,1,0.007285848,11.4,15.7
PRRC2B,V1,Down,-0.103807756,2.07E-05,0.758040203,0.00025231,29.8,39.3
TRRAP,V1,Down,-0.103941447,0.012688901,1,0.04058578,18.1,25.0
ZNF37A,V1,Down,-0.104076472,0.000776617,1,0.004501528,14.9,20.9
HSPA12B,V1,Down,-0.104149098,3.01E-06,0.110201756,5.48E-05,13,18.7
CHD9,V1,Down,-0.104330146,0.000147223,1,0.001211885,40.3,48.7
VTI1A,V1,Down,-0.104420133,0.002072522,1,0.009770259,55.8,63.9
SECISBP2L,V1,Down,-0.10487826,0.002898557,1,0.012686521,22.5,30.7
NBEA,V1,Down,-0.104990927,0.003242913,1,0.013818035,23.9,30.1
DNM1L,V1,Down,-0.105080524,4.50E-07,0.016473616,1.13E-05,21.6,29.0
RSRC1,V1,Down,-0.105138974,0.000406711,1,0.002719937,23.7,31.1
XRCC5,V1,Down,-0.105295164,0.001472955,1,0.007489527,38.7,48.2
LYST,V1,Down,-0.105304646,4.19E-05,1,0.000449559,34,42.7
WRN,V1,Down,-0.105456988,1.61E-07,0.005887739,4.82E-06,17.7,24.1
BTRC,V1,Down,-0.105488666,8.32E-05,1,0.000775916,28.8,37.9
ASH1L,V1,Down,-0.105533157,0.000947632,1,0.005285427,50.9,61.1
LAMA3,V1,Down,-0.105563429,1.44E-17,5.28E-13,2.37E-15,21.7,25.4
ANKRD26,V1,Down,-0.105748222,4.09E-06,0.149830526,6.93E-05,14.8,20.9
LNPEP,V1,Down,-0.105748932,0.001727045,1,0.008487647,21.3,28.9
ZNF644,V1,Down,-0.105777221,0.001694817,1,0.008366451,37.1,45.8
VPS26C,V1,Down,-0.105798342,5.24E-07,0.019188247,1.30E-05,11.1,15.8
GAPVD1,V1,Down,-0.105876311,7.95E-06,0.290884057,0.000116563,18.5,25.5
TCF7L1,V1,Down,-0.106010784,0.000939175,1,0.005257969,14.2,19.0
AL049828.1,V1,Down,-0.106061763,9.42E-07,0.034475239,2.09E-05,14.6,18.2
LMBRD1,V1,Down,-0.106201653,2.91E-06,0.10641632,5.32E-05,19.1,26.1
FAM160B1,V1,Down,-0.106565229,0.01131974,1,0.037060006,13.3,19.7
IRF2,V1,Down,-0.106747862,0.03604205,1,0.091911859,24.6,32.4
MFAP3,V1,Down,-0.106810392,9.38E-06,0.343428147,0.00013252,27.4,36.0
COG3,V1,Down,-0.106886879,8.65E-05,1,0.000795575,13,18.8
NAB1,V1,Down,-0.106949326,1.83E-05,0.671368806,0.000229226,12,17.6
IFNGR2,V1,Down,-0.106949412,0.002751801,1,0.012199512,21.1,28.2
SLC35F5,V1,Down,-0.107032722,0.003020822,1,0.013080391,21.3,29.9
CSNK2A1,V1,Down,-0.107054668,0.00164697,1,0.008186513,22.6,30.5
MAP4K4,V1,Down,-0.107586037,1.03E-06,0.037646428,2.25E-05,48.1,57.0
PRORP,V1,Down,-0.107645651,0.025321126,1,0.069810706,10.9,15.7
ATG2B,V1,Down,-0.107703667,0.000308177,1,0.002175432,15.3,22.3
ACAD11,V1,Down,-0.107902437,0.000753086,1,0.004407538,10.2,15.0
USP10,V1,Down,-0.107937798,7.13E-07,0.026097431,1.67E-05,13.5,19.7
PMS1,V1,Down,-0.108000689,0.004453663,1,0.017709239,13.5,20.0
HEATR5A,V1,Down,-0.108106407,0.000223052,1,0.001684776,12.2,17.7
ADD3,V1,Down,-0.108136486,3.34E-05,1,0.000371937,15.5,20.7
LONRF1,V1,Down,-0.108240807,4.71E-05,1,0.000493892,13.3,18.8
SYNE1,V1,Down,-0.108292476,2.52E-21,9.22E-17,5.77E-19,79.2,82.7
PAFAH1B1,V1,Down,-0.108525714,3.93E-05,1,0.000426563,41.7,52.5
PLEKHA7,V1,Down,-0.108554179,0.000648642,1,0.003930434,15.4,19.1
SFSWAP,V1,Down,-0.108635259,0.003789668,1,0.015574348,18.5,26.2
C6orf89,V1,Down,-0.108731854,0.00010509,1,0.000925293,13.6,19.6
FBXO28,V1,Down,-0.10877338,0.017523055,1,0.052336384,13.5,19.1
IP6K1,V1,Down,-0.109234452,2.04E-05,0.745591654,0.000249479,13.2,19.3
PARP11,V1,Down,-0.109248262,0.011663285,1,0.037952134,12.6,18.2
KIAA1324L,V1,Down,-0.109451863,4.27E-05,1,0.000456738,17.1,21.8
GOLGB1,V1,Down,-0.10951904,8.25E-05,1,0.000770359,30.3,38.3
SSH2,V1,Down,-0.109560261,2.82E-08,0.001033889,1.08E-06,28,36.8
CCM2L,V1,Down,-0.109650808,0.002345567,1,0.010755636,13.9,20.1
RHBDD1,V1,Down,-0.109749187,0.006851234,1,0.024912011,13.9,19.0
OGFRL1,V1,Down,-0.109771415,2.11E-05,0.770761441,0.000255201,11.3,16.8
DNAJC13,V1,Down,-0.109820595,0.009198516,1,0.031568943,15.2,21.7
MPZL1,V1,Down,-0.110037022,0.003861097,1,0.015827306,28.6,36.7
SPAAR,V1,Down,-0.110049966,1.03E-06,0.037826808,2.25E-05,14,20.8
MPRIP,V1,Down,-0.110243056,0.001858642,1,0.00896486,32.7,43.1
TOM1L2,V1,Down,-0.110248386,8.87E-08,0.003245024,2.92E-06,16,22.7
N4BP2L1,V1,Down,-0.110313276,0.001708442,1,0.008415585,16.3,21.9
MLH3,V1,Down,-0.110450165,0.020885233,1,0.059953082,11.1,17.2
CIRBP,V1,Down,-0.110581248,1.53E-09,5.62E-05,8.09E-08,18.7,25.1
SORT1,V1,Down,-0.110610536,1.03E-44,3.75E-40,1.19E-41,67.7,74.8
SEC24D,V1,Down,-0.110610989,0.017281407,1,0.051769667,15.1,21.6
FRY,V1,Down,-0.110742509,0.022467722,1,0.063369563,35.8,43.3
CSAD,V1,Down,-0.110854306,2.86E-06,0.104605575,5.25E-05,10.4,16.2
TCF25,V1,Down,-0.111008727,0.000314908,1,0.002214936,29.6,38.7
BAZ2B,V1,Down,-0.111068703,0.000218749,1,0.001658897,61.3,70.5
MIA3,V1,Down,-0.111095432,0.000123108,1,0.001048912,17.5,24.4
SUSD6,V1,Down,-0.111140275,3.15E-06,0.115117361,5.64E-05,38,46.8
AGTPBP1,V1,Down,-0.111187042,4.43E-07,0.01621196,1.12E-05,30.5,38.3
TJP1,V1,Down,-0.11119391,2.74E-05,1,0.000316665,73.2,79.9
CDC14A,V1,Down,-0.11122889,5.58E-05,1,0.000563618,30.7,39.2
KIFAP3,V1,Down,-0.111333398,0.000235346,1,0.001757882,18.7,25.2
IL15RA,V1,Down,-0.111378296,0.006790542,1,0.024735193,12.9,18.3
DENR,V1,Down,-0.111573084,0.000232125,1,0.001739437,11.2,16.7
MAP2K1,V1,Down,-0.111731706,0.000117189,1,0.001010462,22.7,30.0
CDYL2,V1,Down,-0.11187686,0.000370635,1,0.002522399,53.2,59.3
NUP54,V1,Down,-0.111969459,0.003042728,1,0.013142466,10.8,16.0
SAMD4B,V1,Down,-0.112014471,0.00173124,1,0.008497924,11.6,18.0
AGPS,V1,Down,-0.112029172,1.09E-07,0.003985804,3.48E-06,15.4,22.1
COP1,V1,Down,-0.112093876,3.05E-06,0.111672384,5.54E-05,44.2,53.6
RIC1,V1,Down,-0.112166425,1.31E-05,0.479171343,0.000174378,21,28.6
STRN3,V1,Down,-0.112292476,0.000256117,1,0.00187801,34.9,44.6
7-Mar,V1,Down,-0.112333142,1.06E-06,0.038860509,2.29E-05,43.2,54.4
EPG5,V1,Down,-0.112372586,0.000376459,1,0.002554524,10.6,15.7
CEP85L,V1,Down,-0.112441985,0.000258698,1,0.001894271,26,34.3
TNFSF10,V1,Down,-0.11257598,0.000380528,1,0.002577098,16.1,22.6
CBFA2T2,V1,Down,-0.11269926,8.65E-05,1,0.000795735,18.5,25.8
TCERG1,V1,Down,-0.112754733,2.16E-07,0.007913,6.17E-06,17.8,25.3
MARF1,V1,Down,-0.112808773,9.13E-06,0.334096939,0.000129446,10.8,16.6
USP12,V1,Down,-0.112809963,0.004921615,1,0.019149624,35.6,44.2
ATG5,V1,Down,-0.11289282,0.015007545,1,0.046301702,19.5,26.7
CEP57,V1,Down,-0.112970211,0.002134554,1,0.009988102,15.9,22.3
ACYP2,V1,Down,-0.112974796,3.00E-06,0.109877596,5.47E-05,21.7,27.7
ASXL2,V1,Down,-0.113076415,0.00361836,1,0.01503644,21.8,28.8
NOS3,V1,Down,-0.113105913,1.40E-09,5.12E-05,7.49E-08,18,24.9
CSNK1G1,V1,Down,-0.113119882,4.40E-06,0.160945967,7.36E-05,16.6,23.4
ZC3H6,V1,Down,-0.113343498,0.002213439,1,0.010285604,12.5,17.7
LRRFIP2,V1,Down,-0.11337646,1.82E-05,0.664563762,0.000227039,27.4,36.1
PJA2,V1,Down,-0.113379384,0.000103706,1,0.000914653,31.6,41.3
AMBRA1,V1,Down,-0.11345474,7.52E-05,1,0.000714389,20.7,27.5
RAPGEF6,V1,Down,-0.113475264,2.52E-05,0.922455435,0.000295581,25.1,33.8
SIK3,V1,Down,-0.11352277,0.000753044,1,0.004407538,54.2,63.5
AC018816.1,V1,Down,-0.113596376,0.005055345,1,0.019550771,29.4,35.9
TCF12,V1,Down,-0.113613996,0.026370755,1,0.071914593,69.7,77.1
NBDY,V1,Down,-0.113786822,0.039192517,1,0.098132901,26.5,34.1
NOTCH4,V1,Down,-0.113900856,7.95E-07,0.029083013,1.82E-05,37.2,45.9
ME3,V1,Down,-0.113908295,0.033460909,1,0.086795872,18.3,24.5
LPP,V1,Down,-0.114225057,7.21E-07,0.026389194,1.69E-05,44.3,53.1
MYO15B,V1,Down,-0.114260603,6.26E-06,0.229141182,9.63E-05,19.8,27.2
SCAI,V1,Down,-0.114342889,1.90E-07,0.006945623,5.50E-06,10.7,16.1
RFC3,V1,Down,-0.11437793,0.013591766,1,0.042822697,14.6,19.0
MED15,V1,Down,-0.114392338,0.000744363,1,0.004374211,12.8,19.5
SPATA5,V1,Down,-0.114499046,4.00E-05,1,0.000432507,16.4,21.1
MIRLET7BHG,V1,Down,-0.114556865,2.45E-05,0.897452543,0.000289732,21.6,29.5
SESN3,V1,Down,-0.114563323,0.005098576,1,0.01967646,21.1,27.8
SETD2,V1,Down,-0.114658878,0.001571257,1,0.007879734,38.7,48.4
CYB5B,V1,Down,-0.114801585,1.29E-06,0.047116185,2.71E-05,16.2,23.2
EZH1,V1,Down,-0.1148683,1.01E-06,0.037027885,2.21E-05,14.1,20.7
MTMR2,V1,Down,-0.114878167,0.000732093,1,0.004322834,15.8,22.0
RABGAP1L,V1,Down,-0.114943484,0.008662876,1,0.030087533,45.6,54.0
CHSY1,V1,Down,-0.115096094,0.000325466,1,0.002272919,53.1,61.0
SMC6,V1,Down,-0.115134797,1.11E-10,4.05E-06,7.48E-09,14.1,19.8
ACBD3,V1,Down,-0.115228843,0.00020059,1,0.001548238,15.1,22.0
USP24,V1,Down,-0.115274366,2.77E-05,1,0.000318941,24.6,33.2
XPR1,V1,Down,-0.115328117,3.41E-11,1.25E-06,2.51E-09,42.3,51.4
UHRF2,V1,Down,-0.115377671,0.000112075,1,0.000975246,17.3,24.9
TNRC6A,V1,Down,-0.115545169,3.08E-06,0.112816585,5.57E-05,47.7,58.2
SLTM,V1,Down,-0.115623894,0.000242381,1,0.001798815,34.1,44.2
CHFR,V1,Down,-0.115874644,0.002565193,1,0.011564186,10.7,16.6
ATP1B2,V1,Down,-0.116059792,0.001847746,1,0.008918499,11.2,16.7
CDC42EP3,V1,Down,-0.11611899,0.003540421,1,0.014783331,12.1,17.4
DIDO1,V1,Down,-0.116279677,0.022768202,1,0.064130231,17.7,25.1
NPTN,V1,Down,-0.116482109,0.005892959,1,0.022127274,24.9,32.8
ZNF44,V1,Down,-0.116633384,5.60E-06,0.204895261,8.85E-05,11,16.8
RABGEF1,V1,Down,-0.116764663,1.40E-06,0.051350861,2.92E-05,20.3,27.7
SPAST,V1,Down,-0.116833181,0.003234795,1,0.013791903,11.3,16.9
STXBP6,V1,Down,-0.116834018,1.76E-06,0.064518896,3.52E-05,37.2,42.0
CDC16,V1,Down,-0.116943203,0.000948478,1,0.005288,13.8,20.4
FMN2,V1,Down,-0.116989217,0.003293732,1,0.013985398,12.6,19.4
NIBAN2,V1,Down,-0.117004859,1.69E-07,0.006168128,5.02E-06,14.4,21.8
TAF3,V1,Down,-0.117049816,3.61E-05,1,0.000397375,26.7,33.8
SAMHD1,V1,Down,-0.117189053,0.00359237,1,0.014955287,16.2,22.5
NT5C2,V1,Down,-0.117251321,6.15E-05,1,0.000607191,32,41.4
BCAS3,V1,Down,-0.117727548,0.00010502,1,0.000925068,43.4,50.6
CWC27,V1,Down,-0.117949976,0.000716572,1,0.004245628,18,24.7
AHCYL1,V1,Down,-0.117972997,0.000888193,1,0.005033418,27.5,36.0
SRSF4,V1,Down,-0.118233481,0.004156481,1,0.016751367,38.9,47.9
SPTLC2,V1,Down,-0.118509936,6.00E-10,2.20E-05,3.51E-08,14.6,20.6
MON2,V1,Down,-0.118644229,0.005238289,1,0.020115031,37,47.9
CEPT1,V1,Down,-0.118974688,0.00043541,1,0.002860442,10.8,16.2
RECK,V1,Down,-0.119021729,0.000345136,1,0.002376031,12.8,18.3
EOGT,V1,Down,-0.119028513,2.96E-05,1,0.000338706,20.4,27.4
TAPT1,V1,Down,-0.119086385,0.014425263,1,0.044913421,19.2,26.7
MYSM1,V1,Down,-0.119164639,3.92E-06,0.143423436,6.73E-05,18.5,26.0
HSPA5,V1,Down,-0.11921808,0.000846923,1,0.0048377,24.9,31.1
PHACTR1,V1,Down,-0.119235668,1.00E-05,0.367447852,0.000139798,50.2,58.6
TCF7L2,V1,Down,-0.11927952,0.000135651,1,0.001134439,41.6,50.7
EIF2AK4,V1,Down,-0.119341612,2.05E-05,0.751126293,0.000250889,12.8,19.0
MVP,V1,Down,-0.119354237,4.07E-08,0.001488246,1.49E-06,19.8,27.5
SLF2,V1,Down,-0.119389176,0.001633009,1,0.008136531,16.9,23.2
KDM2A,V1,Down,-0.119472469,1.63E-05,0.596741756,0.000208115,33.1,42.9
EPC2,V1,Down,-0.11952014,0.000742761,1,0.00436726,26.2,33.7
UBE2K,V1,Down,-0.119553313,0.001820579,1,0.008824177,35.8,45.7
FIP1L1,V1,Down,-0.119883707,5.25E-05,1,0.000537386,17.6,24.8
ICE2,V1,Down,-0.119922351,3.16E-05,1,0.000356746,12.7,19.3
SUPT6H,V1,Down,-0.120209224,0.01209037,1,0.03904303,12,19.0
CEP290,V1,Down,-0.120514656,0.00023063,1,0.001733845,15.3,22.1
TRAPPC10,V1,Down,-0.120531823,0.001297693,1,0.006765149,16.4,23.3
UBE4B,V1,Down,-0.120631368,0.007348288,1,0.026356669,17.5,24.3
UBA6,V1,Down,-0.120653987,0.001395063,1,0.007158115,31.9,40.9
NACC2,V1,Down,-0.120670896,0.001268477,1,0.006656338,20.7,28.9
ADCY4,V1,Down,-0.120732563,6.21E-08,0.002274153,2.13E-06,21.1,29.0
CTDSPL2,V1,Down,-0.120951048,6.71E-06,0.24548623,0.000101838,20,27.8
CLASP1,V1,Down,-0.121035093,4.51E-05,1,0.000476184,42.2,52.1
DIAPH1,V1,Down,-0.121047929,0.007264062,1,0.026131056,16.3,23.1
IARS,V1,Down,-0.121126959,0.000720222,1,0.004264467,10.5,16.0
MICU2,V1,Down,-0.121151836,0.004918807,1,0.019142272,15.5,22.2
COG5,V1,Down,-0.121166178,0.004947225,1,0.019220552,35,44.4
RELL1,V1,Down,-0.121289126,5.20E-05,1,0.000533228,48.4,58.0
SNAP25,V1,Down,-0.121299396,1.39E-06,0.050882188,2.90E-05,10.9,15.4
HECTD4,V1,Down,-0.12152604,0.018477959,1,0.054492192,22.5,31.4
CRTC3,V1,Down,-0.12164008,0.000817987,1,0.004698791,20.4,28.4
MTOR,V1,Down,-0.121997553,4.97E-06,0.181755143,8.06E-05,14.6,21.2
ILF3,V1,Down,-0.122301547,0.016848215,1,0.05073185,14.6,21.5
BICRAL,V1,Down,-0.122368155,3.06E-06,0.111917805,5.54E-05,16.3,22.9
DACH1,V1,Down,-0.12244334,0.023608539,1,0.065969632,33.1,36.8
POC1B,V1,Down,-0.12247505,6.51E-05,1,0.000635108,13.1,19.2
RTN1,V1,Down,-0.122477083,0.005479869,1,0.020915467,39.6,46.3
MRTFA,V1,Down,-0.122610947,0.000304554,1,0.002154319,33.5,42.9
CYFIP1,V1,Down,-0.122815419,2.16E-08,0.000789313,8.43E-07,26.9,36.5
HMGXB3,V1,Down,-0.122918899,6.00E-05,1,0.000596097,13.7,20.0
LRRFIP1,V1,Down,-0.123013835,1.95E-06,0.071353781,3.82E-05,31,39.4
NSMAF,V1,Down,-0.123099868,4.14E-06,0.151428156,6.98E-05,10.7,16.2
INPP5A,V1,Down,-0.123230512,1.22E-09,4.46E-05,6.62E-08,21,28.5
EDRF1,V1,Down,-0.12336409,0.000766664,1,0.004463706,10.3,15.3
FNBP1,V1,Down,-0.123447305,0.000465032,1,0.00301981,26.9,35.1
MFSD14C,V1,Down,-0.123537058,5.59E-06,0.204781856,8.85E-05,16.9,23.7
CYTH3,V1,Down,-0.123565106,0.002538268,1,0.01146507,20.7,26.7
XPO6,V1,Down,-0.12371138,0.000453552,1,0.002957245,12.1,17.7
PTPN9,V1,Down,-0.123814272,0.008289425,1,0.029017863,13.6,19.3
VPS53,V1,Down,-0.123886612,0.008654407,1,0.030065938,21.9,29.7
TRIM44,V1,Down,-0.123925232,0.020726559,1,0.059588142,28.8,37.4
UPF2,V1,Down,-0.123966691,0.004434163,1,0.017645174,25.6,34.1
DNM2,V1,Down,-0.123971527,1.14E-16,4.16E-12,1.67E-14,35.9,45.4
SPTBN1,V1,Down,-0.123985595,0.000136146,1,0.001136924,79.5,86.1
VPS13C,V1,Down,-0.124398591,1.30E-07,0.004774887,4.07E-06,44.9,55.8
WDR20,V1,Down,-0.124493169,0.001190471,1,0.006341059,15.9,22.5
TRPC4AP,V1,Down,-0.124559022,0.005651394,1,0.021412956,24,32.2
ZHX3,V1,Down,-0.124721894,0.000124784,1,0.001059719,19.2,26.8
POLK,V1,Down,-0.124746469,0.017670333,1,0.052699838,27.8,36.9
PDHX,V1,Down,-0.124814071,0.000115524,1,0.000998585,10.7,16.2
ELL2,V1,Down,-0.124842823,2.56E-13,9.38E-09,2.60E-11,44.2,54.6
MTM1,V1,Down,-0.124857817,0.003811895,1,0.01565772,17.4,24.2
SH3BGRL2,V1,Down,-0.124968333,0.000248385,1,0.00183488,17.2,23.2
AIG1,V1,Down,-0.124968482,0.0019773,1,0.00941081,13.3,18.8
TTC14,V1,Down,-0.125082789,0.001337601,1,0.00692124,23.6,32.6
ACADM,V1,Down,-0.125091743,0.011889966,1,0.038533258,11.4,17.0
ADGRL2,V1,Down,-0.126219854,1.45E-05,0.53131258,0.000189476,57.6,63.3
VPS45,V1,Down,-0.126374258,2.00E-05,0.732357346,0.000245484,11.7,17.2
EIF4G3,V1,Down,-0.126411345,0.000436927,1,0.002867693,57.5,68.0
ADGRL4,V1,Down,-0.126429661,8.58E-07,0.031395061,1.94E-05,72.5,78.9
MTX2,V1,Down,-0.12670362,0.003603227,1,0.014988505,10.8,16.1
RALB,V1,Down,-0.126734685,0.002429479,1,0.011055244,18,24.9
ZNF875,V1,Down,-0.126825636,2.71E-07,0.009916372,7.42E-06,10.8,17.4
OTUD7B,V1,Down,-0.127129779,0.014018489,1,0.043927974,20.9,28.8
RC3H2,V1,Down,-0.127217643,0.000559186,1,0.003508994,19.9,26.9
MBD2,V1,Down,-0.127236205,4.30E-08,0.00157331,1.56E-06,24.3,32.8
PCM1,V1,Down,-0.127307317,0.000118872,1,0.001021174,48.5,58.5
EXOC6B,V1,Down,-0.127369059,8.94E-12,3.27E-07,7.33E-10,63.2,71.2
SLC25A12,V1,Down,-0.127423815,0.004017624,1,0.016305502,10.6,16.5
UBR3,V1,Down,-0.127445604,2.30E-07,0.008409563,6.44E-06,39,49.7
CUL5,V1,Down,-0.127537155,8.86E-06,0.324156456,0.000126716,25.7,35.1
RAPGEF1,V1,Down,-0.127606405,5.39E-05,1,0.000549264,57.1,64.5
ACVR2A,V1,Down,-0.127652701,0.007079636,1,0.025570756,17,23.2
CUL3,V1,Down,-0.127677142,0.002942802,1,0.012816045,32.5,42.4
AC079781.5,V1,Down,-0.127792861,0.002903274,1,0.012700758,10.1,15.1
RAMP3,V1,Down,-0.127853757,3.50E-29,1.28E-24,1.59E-26,12.8,18.6
SUGP2,V1,Down,-0.127967623,3.04E-05,1,0.000346203,12.3,19.0
KMT5B,V1,Down,-0.128239458,3.12E-05,1,0.000353736,20.6,28.8
RASA1,V1,Down,-0.128321209,0.000644713,1,0.00391389,35.6,44.9
LINC00632,V1,Down,-0.128487456,0.026755125,1,0.072705814,15.9,21.4
USP33,V1,Down,-0.128548705,3.81E-05,1,0.000416644,24.9,33.1
THSD1,V1,Down,-0.128673108,0.002116939,1,0.00993245,10.9,16.0
NKD1,V1,Down,-0.128774725,5.46E-06,0.199765202,8.69E-05,15.4,21.1
HILPDA,V1,Down,-0.129020868,5.51E-09,0.000201771,2.54E-07,15.8,23.2
CLASP2,V1,Down,-0.129079833,3.45E-06,0.126383324,6.07E-05,39.5,48.9
SH3RF3,V1,Down,-0.129137573,0.015512741,1,0.047551709,10.8,15.7
PHACTR4,V1,Down,-0.129214938,0.008728114,1,0.030253591,27.4,36.7
TMCC3,V1,Down,-0.129321429,2.29E-07,0.008373097,6.42E-06,28.8,37.4
ICE1,V1,Down,-0.129513532,1.01E-07,0.003707177,3.27E-06,18.5,25.8
GPM6B,V1,Down,-0.129707415,0.02823319,1,0.075881023,17.2,23.6
PARP9,V1,Down,-0.130105488,0.000607065,1,0.003731597,27.8,37.3
ECE1,V1,Down,-0.130153622,5.93E-05,1,0.000591211,30,40.0
LAMC1,V1,Down,-0.130265559,0.005895016,1,0.022131009,20.9,28.1
R3HCC1L,V1,Down,-0.130425337,0.018541389,1,0.054632846,14.5,21.6
NAV2,V1,Down,-0.130430907,0.000867785,1,0.004940613,42.5,54.3
IRAK4,V1,Down,-0.13046755,0.003167291,1,0.013549694,11.1,17.4
DLEU2,V1,Down,-0.130533864,8.87E-05,1,0.000811767,54.1,62.9
ASCC3,V1,Down,-0.130541407,0.001262599,1,0.006635334,32.6,42.8
SNX14,V1,Down,-0.130555447,0.003056277,1,0.013181856,27.5,36.2
CDK13,V1,Down,-0.130726611,0.002426849,1,0.011055127,42.9,52.4
MIGA1,V1,Down,-0.131001254,0.000210824,1,0.001614662,17.4,25.2
ASPH,V1,Down,-0.131035172,0.000240078,1,0.001787458,24.5,33.8
TFRC,V1,Down,-0.131211982,0.002054818,1,0.009706571,51.5,60.2
SCAF8,V1,Down,-0.131440505,1.09E-07,0.003989479,3.48E-06,26.2,35.2
ZCCHC2,V1,Down,-0.131455445,2.49E-06,0.09104128,4.71E-05,24.2,30.9
LINC01376,V1,Down,-0.131462979,0.012871486,1,0.041037463,12.1,15.9
KIAA1841,V1,Down,-0.131493448,1.82E-07,0.006663955,5.34E-06,10.7,16.5
CHCHD3,V1,Down,-0.131506632,0.000793151,1,0.004582656,27.8,35.8
NEK9,V1,Down,-0.131596148,0.000821259,1,0.004711777,10.9,17.0
ODF2L,V1,Down,-0.13170958,0.010207858,1,0.034204154,28.9,38.0
DDX17,V1,Down,-0.13176134,0.00036021,1,0.002460291,76,85.3
CTNNA1,V1,Down,-0.131925321,7.24E-06,0.264843032,0.000108156,51.4,60.1
ZDHHC20,V1,Down,-0.132072419,2.60E-05,0.952012714,0.000302995,22.2,28.8
VAPB,V1,Down,-0.132281185,3.08E-06,0.112772294,5.57E-05,14.5,22.3
ARMH3,V1,Down,-0.132282958,0.012956954,1,0.041246832,18.8,26.4
CDKAL1,V1,Down,-0.132372961,0.026192918,1,0.071551385,45.7,55.0
DCAF8,V1,Down,-0.132481275,4.04E-07,0.014784731,1.04E-05,14.5,21.4
PIAS2,V1,Down,-0.132807719,8.04E-06,0.294366448,0.000117739,42.1,52.4
POT1,V1,Down,-0.132959,2.19E-06,0.0802139,4.23E-05,11.3,17.1
WDFY3,V1,Down,-0.132986857,0.019624525,1,0.057169361,46.2,55.4
CUX1,V1,Down,-0.133376402,0.002474877,1,0.011235193,46.2,55.9
TTLL5,V1,Down,-0.133419486,0.000498197,1,0.003195604,24.3,32.7
GIMAP8,V1,Down,-0.133581054,7.93E-07,0.029030645,1.82E-05,16.3,23.4
HUWE1,V1,Down,-0.133630547,0.003489551,1,0.014626626,28.4,37.2
CERK,V1,Down,-0.133993069,0.009121983,1,0.031332093,29,37.5
PSMD1,V1,Down,-0.134137697,2.12E-07,0.007758274,6.08E-06,24.5,33.3
EEA1,V1,Down,-0.134388679,7.68E-05,1,0.000728495,29.8,38.6
C5orf56,V1,Down,-0.134528654,6.64E-07,0.024293395,1.58E-05,16.9,24.1
ELP4,V1,Down,-0.134530465,0.000141451,1,0.001173983,25.8,33.5
